Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
robot-shop1,N/A,mysql,0.0008006083319412047,424849408,0,0,N/A,N/A,16:55:03
default,N/A,nginx,0,13565952,0,0,N/A,N/A,16:55:03
robot-shop1,N/A,ratings,0.0013313086020239821,81850368,0,0,N/A,N/A,16:55:03
observability,N/A,tempo,0.0010069820922411464,218025984,0,324.95950036031707,N/A,N/A,16:55:03
robot-shop1,N/A,web,0.00911605114501516,11194368,124.95182410621841,0,N/A,N/A,16:55:03
default,N/A,N/A,0,14057472,0,0,N/A,N/A,16:55:03
observability,N/A,N/A,0,45817856,0,0,806.5197258751621,292.4245230598259,16:55:03
observability,N/A,N/A,0,45817856,0,0,806.5197258751621,292.4245230598259,16:55:03
kube-system,N/A,N/A,0.0094160991604511,57208832,0,0,37.54639301954037,8.713917905862111,16:55:03
kube-system,N/A,N/A,0.0094160991604511,57208832,0,0,37.54639301954037,8.713917905862111,16:55:03
observability,N/A,N/A,0,45817856,0,0,806.5197258751621,292.4245230598259,16:55:03
observability,N/A,N/A,0,45817856,0,0,806.5197258751621,292.4245230598259,16:55:03
chaos-testing,N/A,N/A,0.005351484199152291,67805184,0,0,78.70370370370371,28.689674523007856,16:55:03
chaos-testing,N/A,N/A,0.005351484199152291,67805184,0,0,78.70370370370371,28.689674523007856,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
kube-system,N/A,N/A,0.0094160991604511,57208832,0,0,37.54639301954037,8.713917905862111,16:55:03
chaos-testing,N/A,N/A,0.005351484199152291,67805184,0,0,78.70370370370371,28.689674523007856,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
robot-shop1,N/A,N/A,0.0012852863690497927,35815424,0,0,2264.136559496188,1247.3980775604905,16:55:03
platform,N/A,N/A,0,31756288,0,0,13563.801065054695,26079.854454832166,16:55:03
